,renda_mensal,quantidade_de_cheques_sem_fundo,valor_dos_restritivos,quantidade_de_protestos,valor_dos_protestos,modelo_score_1,modelo_score_2,modelo_score_3,modelo_score_4,id_do_cliente,tipo_de_score,compromentimento_da_renda,response
570,0.006333979030224764,0,0.0,0.0,0.0,604,630,609,762,490459637,3,25,MAU
9685,0.007871352581250192,0,0.0,0.0,0.0,317,617,236,607,718201327,2,25,BOM
184,0.10789287581096453,0,0.0,0.0,0.0,893,733,874,851,943020129,4,25,BOM
8086,0.045414014697291144,0,0.0,0.0,0.0,548,633,466,722,382678142,3,25,BOM
2237,0.07164160747778495,0,0.0,0.0,0.0,360,655,469,763,789690296,2,25,BOM
9909,0.045414014697291144,0,0.0,0.0,0.0,536,624,447,721,826348183,3,25,BOM
6547,0.045414014697291144,0,0.0,0.0,0.0,527,608,361,741,933277169,3,25,BOM
4921,0.012053008640039352,0,0.0,0.0,0.0,512,585,361,670,578511638,3,25,BOM
9180,0.07536205147126648,0,0.0,0.0,0.0,858,682,766,760,482421695,4,25,BOM
7336,0.0019678381453125462,0,0.0,0.0,0.0,430,675,535,682,328239353,2,25,BOM
2385,0.07536205147126648,0,0.0,0.0,0.0,796,742,849,783,973466879,4,25,BOM
6852,0.07536205147126648,0,0.0,0.0,0.0,737,683,811,779,1100734294,4,25,BOM
2131,0.07179534483288749,0,0.0,0.0,0.0,748,681,621,822,132284070,4,25,BOM
2423,0.07164160747778495,0,0.6689655172413793,0.0,0.0,135,229,227,692,821476703,1,25,BOM
1409,0.045414014697291144,0,0.0,0.0,0.0,381,602,299,661,9279200,2,25,MAU
5588,0.04153983334870706,0,0.903448275862069,1.0,25.0,87,276,219,598,513964528,1,25,MAU
6423,0.07536205147126648,0,0.0,0.0,0.0,261,585,162,637,1047026227,1,25,BOM
7773,0.0043353934138917055,0,0.0,0.0,0.0,633,653,597,786,98792645,3,25,BOM
4749,0.07536205147126648,0,0.0,0.0,0.0,243,621,314,622,558416783,1,25,MAU
9468,0.0015988684930664451,0,27.979310344827585,0.0,0.0,90,206,250,624,680203783,1,100,BOM
6759,0.10364972481013436,1,0.0,0.0,0.0,314,463,524,672,1022668827,2,25,BOM
593,0.07151861759370291,0,0.0,0.0,0.0,505,613,549,730,242379518,3,25,BOM
9486,0.07966669741413768,0,0.0,0.0,0.0,456,619,418,747,56410769,2,25,MAU
7993,0.24779386895427846,12,0.0,4.0,18470.0,373,452,698,782,314477422,2,25,BOM
6837,0.07536205147126648,0,0.0,0.0,0.0,556,680,758,686,1050192689,3,25,BOM
7135,0.07536205147126648,0,0.3931034482758621,0.0,0.0,121,235,211,750,474627327,1,25,BOM
180,0.014020846785351905,0,9.875862068965517,0.0,0.0,39,217,203,533,345898468,1,100,MAU
2519,0.017587553423730896,0,0.0,0.0,0.0,843,727,825,813,249686738,4,25,BOM
2957,0.10349598745503182,0,27.53103448275862,0.0,0.0,245,231,282,735,375979857,1,100,MAU
8181,0.007779110168188663,0,82.53793103448275,0.0,0.0,105,224,172,532,305586971,1,100,BOM
5963,0.09940657380930419,0,5.4206896551724135,0.0,0.0,148,214,243,609,284396033,1,50,BOM
2611,0.07536205147126648,0,1.2206896551724138,0.0,0.0,47,242,203,660,148238167,1,25,BOM
2828,0.12578790394490053,0,0.0,0.0,0.0,761,697,784,866,1093548861,4,25,BOM
2899,0.0019370906742920413,0,0.0,0.0,0.0,815,661,855,866,392664676,4,25,BOM
5697,0.006333979030224764,0,0.0,0.0,0.0,473,680,322,525,265884409,2,25,BOM
530,0.0011376564277588153,0,8.613793103448275,4.0,2285.0,175,268,274,605,113650659,1,25,BOM
3247,0.09150447375703348,0,0.0,0.0,0.0,728,635,624,724,90389342,4,25,BOM
6106,0.07536205147126648,0,0.0,0.0,0.0,805,684,543,854,225938273,4,25,BOM
6935,0.0001229898840820337,0,0.0,0.0,0.0,473,680,1,1,1111573337,2,25,BOM
6436,0.013436644835962241,0,0.0,0.0,0.0,361,583,440,514,726117482,2,25,BOM
6677,0.011653291516772746,0,34.310344827586206,1.0,1132.0,158,225,274,604,651583838,1,100,BOM
9421,0.015650462749438855,0,0.0,0.0,0.0,759,736,783,856,122419323,4,25,BOM
7623,0.06220213387448882,0,0.0,0.0,0.0,668,662,775,747,709798024,3,25,BOM
9063,0.09956031116440674,0,0.0,0.0,0.0,756,627,557,699,1076255107,4,25,BOM
2474,0.09949881622236571,0,13.075862068965517,0.0,0.0,223,225,243,641,512868445,1,75,MAU
7031,0.0059957568489991675,0,0.0,0.0,0.0,669,668,803,777,1193779562,3,25,BOM
3382,0.07151861759370291,0,0.0,0.0,0.0,682,656,784,776,725021399,3,25,MAU
6705,0.011991513697998335,0,0.0,0.0,0.0,542,668,678,646,740001200,3,25,BOM
175,0.01478953356086462,0,0.0,1.0,350.0,39,268,188,559,541001242,1,50,BOM
2480,0.006733696153491377,0,0.0,0.0,0.0,589,611,423,705,880056250,3,25,MAU
7944,0.0714571226516619,0,0.0,0.0,0.0,557,621,575,733,110971345,3,25,MAU
6523,9.224241306152181e-05,0,0.0,0.0,0.0,370,573,237,634,1132886062,2,25,BOM
1943,0.07536205147126648,0,0.0,0.0,0.0,399,608,283,699,1026566011,2,25,BOM
908,0.07536205147126648,0,0.0,0.0,0.0,404,624,547,670,1098663915,2,25,BOM
5571,0.09138148387295145,0,0.0,0.0,0.0,499,646,384,701,26207593,2,25,BOM
2931,0.07536205147126648,0,1.8413793103448275,0.0,0.0,87,247,196,552,124733276,1,50,BOM
43,0.10355748239707284,0,0.0,0.0,0.0,865,746,833,819,666563639,4,25,BOM
5555,0.1074009162746364,0,2.089655172413793,0.0,0.0,202,242,243,679,697010389,1,75,BOM
2969,0.07536205147126648,0,0.0,0.0,0.0,301,617,432,709,128265099,2,25,BOM
5759,0.005473049841650521,0,0.0,0.0,0.0,764,657,557,665,460865396,4,25,BOM
1527,0.045414014697291144,0,0.0,0.0,0.0,413,632,460,702,517009203,2,25,MAU
8431,0.07536205147126648,0,0.0,0.0,0.0,377,643,408,668,831341450,2,25,BOM
861,0.06158718445407865,0,0.0,0.0,0.0,584,616,689,791,64570498,3,25,MAU
5072,0.09956031116440674,0,0.0,0.0,0.0,790,671,702,866,489850702,4,25,BOM
615,0.017372321126587334,0,9.862068965517242,0.0,0.0,162,219,282,685,31566221,1,100,BOM
65,0.011099837038403587,0,2.2758620689655173,0.0,0.0,175,197,250,445,421162834,1,25,BOM
6398,0.02266088614211481,0,0.0,0.0,0.0,680,737,675,805,335668360,3,25,BOM
9028,0.01478953356086462,0,0.0,0.0,0.0,729,649,647,716,1014874459,4,25,BOM
